,StockCode,Total_Sales,Total_Quantity_Purchase,Frequency,Mean_diff_purchase,Description
37,16048,205.41999999999996,1461,69,6.7407407407407405,TEATIME ROUND PENCIL SHARPENER 
38,16049,82.08,504,5,56.75,TEATIME GEL PENS ASST
39,16052,115.29999999999998,479,13,30.583333333333332,TEATIME PUSH DOWN RUBBER
40,16054,140.51999999999995,1166,33,12.551724137931034,POPART RECT PENCIL SHARPENER ASST
41,16151A,61.25,49,3,70.66666666666667,FLOWERS HANDBAG blue and orange
42,16156L,199.5,475,18,19.764705882352942,WRAP CAROUSEL
43,16156S,2331.0,5800,167,3.024390243902439,WRAP PINK FAIRY CAKES 
44,16161G,70.0,700,22,12.80952380952381,WRAP BAD HAIR DAY
45,16161M,10.5,25,1,372.0,WRAP  PINK FLOCK
46,16161P,2990.92,7226,249,2.31055900621118,WRAP ENGLISH ROSE 
47,16161U,1687.5,4075,134,3.5142857142857142,WRAP SUKI AND FRIENDS
48,16162L,13.0,20,8,41.5,THE KING GIFT BAG
49,16162M,11.76,28,8,20.428571428571427,THE KING GIFT BAG 25x24x12cm
50,16168M,173.12000000000006,371,41,10.36111111111111,FUNKY MONKEY GIFT BAG MEDIUM
51,16169E,1892.46,4563,150,1.6987951807228916,WRAP 50'S  CHRISTMAS
52,16169K,84.0,200,8,46.0,WRAP FOLK ART
53,16169M,277.2,660,26,13.52,WRAP DAISY CARPET 
54,16169N,10.5,25,1,368.0,WRAP BLUE RUSSIAN FOLKART
55,16169P,21.0,50,2,182.0,WRAP GREEN RUSSIAN FOLKART 
56,16202A,3.5,7,2,136.5,PASTEL PINK PHOTO ALBUM 
57,16202B,14.5,29,2,118.0,PASTEL BLUE PHOTO ALBUM 
58,16202E,7.5,15,3,83.0,BLACK PHOTO ALBUM 
59,16206B,8.75,7,2,175.5,RED PURSE WITH PINK HEART
60,16207A,163.0999999999999,60,34,11.451612903225806,PINK STRAWBERRY HANDBAG 
61,16207B,76.14,29,18,20.75,PINK HEART RED HANDBAG
62,16216,234.0000000000002,3333,45,9.05,LETTER SHAPE PENCIL SHARPENER
63,16218,283.31000000000034,3821,64,6.745454545454545,CARTOON  PENCIL SHARPENERS
64,16219,407.71999999999963,3048,100,4.530864197530864,HOUSE SHAPE PENCIL SHARPENER
65,16225,691.85,815,104,5.013513513513513,RATTLE SNAKE EGGS
66,16235,702.9600000000002,3104,169,3.152542372881356,RECYCLED PENCIL WITH RABBIT ERASER
67,16236,320.0899999999998,1438,136,3.73,KITTY PENCIL ERASERS
68,16237,1048.5599999999977,4994,297,2.181286549707602,SLEEPING CAT ERASERS
69,16238,322.0899999999997,1398,136,3.7676767676767677,PARTY TIME PENCIL ERASERS
70,16244B,7.85,7,2,113.5,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A
71,16248B,16.25,13,7,39.57142857142857,BLUE HOLE PUNCH
72,16254,42.580000000000005,40,17,10.411764705882353,TRANSPARENT ACRYLIC TAPE DISPENSER
73,16258A,178.9700000000001,472,59,7.313725490196078,SWIRLY CIRCULAR RUBBERS IN BAG
74,16259,326.55999999999995,3380,31,9.535714285714286,PIECE OF CAMO STATIONERY SET
75,17001,20.88,72,1,284.0,HEAVENS SCENT FRAGRANCE OILS ASSTD
76,17003,6036.389999999999,23056,242,2.4220779220779223,BROCADE RING PURSE 
77,17007B,50.400000000000006,24,2,184.0,S/3 POT POURI CUSHIONS BLUE COLOURS
78,17011F,66.36000000000001,81,7,53.285714285714285,ORIGAMI SANDLEWOOD INCENSE+FLOWER
79,17012A,375.93000000000006,323,66,6.660714285714286,ORIGAMI VANILLA INCENSE/CANDLE SET 
80,17012B,595.8499999999996,525,85,5.04054054054054,ORIGAMI JASMINE INCENSE/CANDLE SET
81,17012C,484.3500000000001,421,86,5.567164179104478,ORIGAMI LAVENDER INCENSE/CANDL SET 
82,17012D,550.6400000000001,463,99,4.973333333333334,ORIGAMI ROSE INCENSE/CANDLE SET 
83,17012E,74.63999999999999,68,11,53.285714285714285,ORIGAMI OPIUM INCENSE/CANDLE SET 
84,17012F,530.5999999999999,448,94,5.180555555555555,ORIGAMI SANDLEWOOD INCENSE/CAND SET
85,17013D,267.82000000000005,535,13,28.153846153846153,ORIGAMI ROSE INCENSE IN TUBE
86,17014A,71.19000000000001,155,8,46.625,ORIGAMI VANILLA INCENSE CONES
87,17021,643.1399999999996,2427,57,8.477272727272727,NAMASTE SWAGAT INCENSE
88,17028J,2.52,6,1,312.0,INCENSE BAZAAR PEACH
89,17038,158.06,1525,34,10.794117647058824,PORCELAIN BUDAH INCENSE HOLDER
90,17084A,42.0,200,7,44.57142857142857,TRANQUILITY MASALA INCENSE
91,17084J,47.25,225,8,45.875,LOVE POTION MASALA INCENSE
92,17084N,313.30999999999995,1264,101,4.548780487804878,FAIRY DREAMS INCENSE 
93,17084P,104.44000000000004,423,39,10.657142857142857,DRAGONS BLOOD INCENSE
94,17084R,760.32,4032,27,14.26923076923077,ASSORTED INCENSE PACK
95,17090A,107.44999999999999,109,10,37.2,LAVENDER INCENSE 40 CONES IN TIN
96,17090D,36.25,29,13,31.0,VANILLA INCENSE 40 CONES IN TIN
97,17091A,99.29000000000002,172,26,18.65,LAVENDER INCENSE IN TIN
98,17091J,920.6699999999987,2084,99,4.946666666666666,VANILLA INCENSE IN TIN
99,17096,455.98000000000013,2545,24,15.91304347826087,ASSORTED LAQUERED INCENSE HOLDERS
100,17107D,436.05000000000024,171,47,9.048780487804878,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS"
101,17109D,32.349999999999994,61,5,73.8,FLOWER FAIRY INCENSE BOUQUET
102,17129F,553.8299999999999,588,57,7.313725490196078,BLUE GLASS GEMS IN BAG
103,17136A,33.75,404,20,18.294117647058822,BLUE STONES ON WIRE FOR CANDLE
104,17164B,12.18,29,10,46.625,ASS COL SMALL SAND GECKO P'WEIGHT
105,17165D,28.35,27,7,52.0,ASS COL LARGE SAND FROG P'WEIGHT
106,17174,3.7800000000000002,9,3,109.0,ASSTD RASTA KEY-CHAINS
107,17191A,15.0,4,2,13.0,ROSE FLOWER CANDLE+INCENSE 16X16CM
108,18007,395.60999999999996,5884,31,14.153846153846153,ESSENTIAL BALM 3.5g TIN IN ENVELOPE
109,18094C,283.9299999999999,192,42,9.945945945945946,WHITE AND BLUE CERAMIC OIL BURNER
110,18097A,12.75,5,4,93.0,PINK TALL PORCELAIN T-LIGHT HOLDER 
111,18097C,1601.209999999999,699,73,6.305084745762712,WHITE TALL PORCELAIN T-LIGHT HOLDER
112,18098C,921.8700000000005,265,63,10.657142857142857,PORCELAIN BUTTERFLY OIL BURNER
113,20615,466.9899999999998,309,95,4.96,BLUE POLKADOT PASSPORT COVER
114,20616,243.52999999999977,194,71,6.114754098360656,CHERRY BLOSSOM PASSPORT COVER
115,20617,194.93999999999994,93,43,9.325,FIRST CLASS PASSPORT COVER 
116,20618,286.39,148,76,6.1,QUEEN OF THE SKIES PASSPORT COVER 
117,20619,439.6499999999997,262,99,4.493975903614458,TROPICAL PASSPORT COVER 
118,20622,305.8,186,52,8.28888888888889,VIPPASSPORT COVER 
119,20652,350.6099999999999,268,81,5.983870967741935,BLUE POLKADOT LUGGAGE TAG 
120,20653,95.17999999999996,73,33,12.03225806451613,CHERRY BLOSSOM LUGGAGE TAG
121,20654,193.58999999999997,152,50,8.465116279069768,FIRST CLASS LUGGAGE TAG 
122,20655,292.28999999999985,197,99,4.818181818181818,QUEEN OF SKIES LUGGAGE TAG
123,20657,105.90999999999995,73,33,11.242424242424242,TROPICAL LUGGAGE TAG
124,20658,653.36,434,108,4.7215189873417724,RED RETROSPOT LUGGAGE TAG
125,20659,248.08999999999997,159,65,7.235294117647059,ECONOMY LUGGAGE TAG
126,20661,141.15,44,33,12.366666666666667,BLUE POLKADOT PURSE 
127,20662,90.42000000000002,31,20,20.72222222222222,FIRST CLASS HOLIDAY PURSE 
128,20663,66.26,25,20,20.38888888888889,QUEEN OF THE SKIES HOLIDAY PURSE 
129,20664,81.65999999999998,32,18,21.294117647058822,TROPICAL HOLIDAY PURSE 
130,20665,1546.2700000000007,461,156,3.0826446280991737,RED RETROSPOT PURSE 
131,20666,41.529999999999994,30,17,24.133333333333333,ECONOMY HOLIDAY PURSE
132,20667,49.690000000000005,20,16,12.0,CHERRY BLOSSOM PURSE
133,20668,1512.9200000000033,12979,222,3.057377049180328,DISCO BALL CHRISTMAS DECORATION
134,20669,447.33999999999986,304,101,4.907894736842105,RED HEART LUGGAGE TAG
135,20670,44.04,14,11,32.90909090909091,VIP HOLIDAY PURSE
136,20671,12.5,10,2,184.5,BLUE TEATIME PRINT BOWL 
137,20674,2032.4800000000012,1576,208,2.48,GREEN POLKADOT BOWL
138,20675,3984.3700000000044,3121,325,1.878787878787879,BLUE POLKADOT BOWL
139,20676,6441.060000000007,5076,456,1.6217391304347826,RED RETROSPOT BOWL
140,20677,4749.840000000005,3676,339,1.8507462686567164,PINK POLKADOT BOWL
141,20678,6.6,4,1,77.0,LARGE BLACK DIAMANTE HAIRSLIDE
142,20679,10021.419999999991,1710,327,1.9427083333333333,EDWARDIAN PARASOL RED
143,20681,506.96,140,47,10.657142857142857,PINK POLKADOT CHILDRENS UMBRELLA
144,20682,4190.830000000003,1241,239,2.3607594936708862,RED RETROSPOT CHILDRENS UMBRELLA
145,20684,273.81,81,36,11.303030303030303,STRAWBERRY DREAM CHILDS UMBRELLA
146,20685,28082.54000000003,4092,699,1.4401544401544402,DOORMAT RED RETROSPOT
147,20686,932.42,270,78,5.537313432835821,DOLLY MIXTURE CHILDREN'S UMBRELLA
148,20694,187.54,43,17,22.3125,FLORAL PINK MONSTER
149,20695,21.25,5,4,91.5,FLORAL BLUE MONSTER
150,20696,230.81000000000006,54,30,13.814814814814815,FLORAL SOFT CAR TOY
151,20697,53.54999999999999,21,13,33.90909090909091,LITTLE GREEN MONSTER SOFT TOY
152,20698,43.35,17,9,41.5,LITTLE PINK MONSTER SOFT TOY
153,20699,266.0300000000001,97,41,12.862068965517242,MOUSEY LONG LEGS SOFT TOY
154,20700,345.1699999999998,73,54,7.9361702127659575,GREEN CAT FLORAL CUSHION COVER 
155,20701,100.97000000000001,25,18,21.9375,PINK CAT FLORAL CUSHION COVER 
156,20702,577.79,135,43,9.461538461538462,PINK PADDED MOBILE
157,20703,4.25,1,1,239.0,BLUE PADDED SOFT MOBILE
158,20704,697.6999999999999,216,44,10.617647058823529,MR ROBOT SOFT TOY
159,20705,428.8499999999998,143,28,13.846153846153847,MRS ROBOT SOFT TOY
160,20707,468.38999999999993,464,149,3.5865384615384617,CRAZY DAISY HEART DECORATION
161,20711,11014.619999999975,5007,524,1.6954545454545455,JUMBO BAG TOYS 
162,20712,22092.419999999904,9773,869,1.3465703971119134,JUMBO BAG WOODLAND ANIMALS
163,20713,23030.959999999926,11444,667,1.7932692307692308,JUMBO BAG OWLS
164,20716,469.6299999999999,400,74,6.814814814814815,PARTY FOOD SHOPPER BAG
165,20717,3564.4800000000055,2857,418,1.6801801801801801,STRAWBERRY SHOPPER BAG
166,20718,6613.04,4776,581,1.497991967871486,RED RETROSPOT SHOPPER BAG
167,20719,16759.74999999999,13308,848,1.3563636363636364,WOODLAND CHARLOTTE BAG
168,20723,12552.399999999998,9798,730,1.3917910447761195,STRAWBERRY CHARLOTTE BAG
169,20724,21776.789999999986,17765,1047,1.3041958041958042,RED RETROSPOT CHARLOTTE BAG
170,20725,36042.010000000075,19553,1595,1.2516778523489933,LUNCH BAG RED RETROSPOT
171,20726,18323.379999999943,9933,1041,1.2996515679442509,LUNCH BAG WOODLAND
172,20727,22421.21000000004,12240,1328,1.2773972602739727,LUNCH BAG  BLACK SKULL.
173,20728,21750.63000000001,11817,1174,1.273037542662116,LUNCH BAG CARS BLUE
174,20731,109.96,92,16,26.285714285714285,POSY CANDY BAG
175,20733,958.0600000000032,1236,208,2.7226277372262775,GOLD MINI TAPE MEASURE 
176,20734,271.21999999999997,158,27,14.26923076923077,SILVER MINI TAPE MEASURE 
177,20735,625.8000000000003,623,112,4.493975903614458,BLACK MINI TAPE MEASURE 
178,20748,751.1700000000001,57,34,11.53125,KENSINGTON COFFEE SET
179,20749,12614.169999999966,1770,388,1.865,ASSORTED COLOUR MINI CASES
180,20750,12642.929999999962,1748,387,1.776190476190476,RED RETROSPOT MINI CASES
181,20751,2108.7199999999984,1003,224,2.5833333333333335,FUNKY WASHING UP GLOVES ASSORTED
182,20752,935.1500000000016,414,150,3.243478260869565,BLUE POLKADOT WASHING UP GLOVES
183,20754,3090.9599999999923,1458,308,2.0607734806629834,RETROSPOT RED WASHING UP GLOVES
184,20755,272.02,307,63,7.173076923076923,BLUE PAISLEY POCKET BOOK
185,20756,53.54999999999998,63,22,16.15,GREEN FERN POCKET BOOK
186,20757,144.28999999999996,167,36,12.0,RED DAISY POCKET BOOK 
187,20758,137.70000000000002,162,45,9.864864864864865,ABSTRACT CIRCLES POCKET BOOK
188,20759,54.4,64,20,19.57894736842105,CHRYSANTHEMUM POCKET BOOK 
189,20760,58.64999999999998,69,22,19.57894736842105,GARDEN PATH POCKET BOOK
190,20761,517.22,123,66,6.781818181818182,BLUE PAISLEY SKETCHBOOK
191,20762,420.0799999999999,106,56,7.510204081632653,GREEN FERN SKETCHBOOK 
192,20763,205.04000000000002,73,27,14.115384615384615,DAISY SKETCHBOOK 
193,20764,610.81,144,78,5.765625,ABSTRACT CIRCLES SKETCHBOOK 
194,20765,423.5499999999999,104,61,7.313725490196078,CHRYSANTHEMUM SKETCHBOOK 
195,20766,501.07,124,60,7.591836734693878,GARDEN PATH SKETCHBOOK
196,20767,663.7099999999991,253,82,5.3,BLUE PAISLEY JOURNAL 
197,20768,441.12000000000023,177,56,7.9361702127659575,GREEN FERN JOURNAL 
198,20769,217.5600000000001,80,34,12.689655172413794,DAISY JOURNAL 
199,20770,449.8000000000001,185,73,6.216666666666667,ABSTRACT CIRCLE JOURNAL 
200,20771,269.6800000000001,103,41,10.542857142857143,CHRYSANTHEMUM  JOURNAL
201,20772,621.1899999999998,247,65,7.037735849056604,GARDEN PATH JOURNAL
202,20773,92.39999999999998,56,24,16.954545454545453,BLUE PAISLEY NOTEBOOK
203,20774,141.23999999999995,86,45,10.36111111111111,GREEN FERN NOTEBOOK
204,20775,235.1899999999998,135,65,7.666666666666667,DAISY NOTEBOOK 
205,20777,282.48999999999984,169,80,6.216666666666667,CHRYSANTHEMUM NOTEBOOK
206,20778,24.75,15,8,52.142857142857146,GARDEN PATH NOTEBOOK 
207,20780,318.1900000000001,48,30,15.541666666666666,BLACK EAR MUFF HEADPHONES
208,20781,221.64999999999995,38,28,15.333333333333334,GOLD EAR MUFF HEADPHONES
209,20782,373.57000000000005,54,28,15.333333333333334,CAMOUFLAGE EAR MUFF HEADPHONES
210,20785,523.3000000000001,14,5,67.6,FUSCHIA RETRO BAR STOOL
211,20793,54.0,8,4,90.5,BLUE TILED TRAY
212,20794,282.79,99,28,13.592592592592593,BLUE  TILE HOOK
213,20795,113.05000000000001,49,11,29.545454545454547,LARGE BLUE PROVENCAL CERAMIC BALL
214,20796,103.93999999999998,62,9,31.444444444444443,SMALL BLUE PROVENCAL CERAMIC BALL
215,20798,75.60000000000001,36,5,74.4,CLEAR MILKSHAKE GLASS
216,20801,1157.8000000000004,1013,82,7.0576923076923075,LARGE PINK GLASS SUNDAE DISH
217,20802,984.4699999999993,739,63,6.571428571428571,SMALL GLASS SUNDAE DISH CLEAR
218,20803,478.71999999999986,945,41,11.870967741935484,SMALL PINK GLASS SUNDAE DISH
219,20816,15.6,8,2,225.0,GOLD FLOWER CUSHION COVER 
220,20818,42.7,15,5,72.2,GOLD TEDDY BEAR
221,20819,244.72,64,27,15.333333333333334,SILVER TEDDY BEAR
222,20820,24.75,5,2,186.5,SILVER LOOKING MIRROR
223,20821,84.15000000000002,17,6,42.333333333333336,GOLDIE LOOKING MIRROR
224,20823,132.72,168,9,39.0,GOLD WINE GOBLET
225,20826,128.40000000000003,276,8,45.125,SILVER APERITIF GLASS
226,20827,34.32,88,2,117.0,GOLD APERITIF GLASS
227,20828,3079.8800000000037,1130,250,2.2962962962962963,GLITTER BUTTERFLY CLIPS
228,20829,2725.0500000000015,1315,200,2.612676056338028,GLITTER HANGING BUTTERFLY STRING
229,20830,409.83000000000004,136,37,11.3125,SILVER PHOTO FRAME
230,20831,466.5300000000002,216,39,10.647058823529411,GOLD PHOTO FRAME
231,20832,582.0300000000003,1091,84,5.8125,RED FLOCK LOVE HEART PHOTO FRAME
232,20835,65.79999999999998,67,8,46.625,FRENCH LATTICE CUSHION COVER 
233,20836,141.09999999999997,170,17,13.75,FRENCH PAISLEY CUSHION COVER
234,20837,142.47000000000003,141,15,22.692307692307693,FRENCH FLORAL CUSHION COVER 
235,20838,461.45000000000016,385,57,4.612244897959184,FRENCH LATTICE CUSHION COVER 
236,20839,840.4400000000005,575,105,4.782051282051282,FRENCH PAISLEY CUSHION COVER 
237,20840,632.3200000000003,533,75,6.322033898305085,FRENCH FLORAL CUSHION COVER 
238,20845,120.64999999999998,19,11,32.5,ZINC HEART LATTICE 2 WALL PLANTER
239,20846,958.5700000000002,717,90,5.405797101449275,ZINC HEART LATTICE T-LIGHT HOLDER
240,20847,217.57999999999998,52,18,21.647058823529413,ZINC HEART LATTICE CHARGER LARGE
241,20848,61.95000000000002,21,8,45.125,ZINC HEART LATTICE CHARGER SMALL
242,20851,53.550000000000004,9,7,44.714285714285715,ZINC HEART LATTICE TRAY OVAL 
243,20854,386.3199999999998,244,42,13.321428571428571,BLUE PATCH PURSE PINK HEART
244,20856,357.28999999999985,216,61,7.313725490196078,DENIM PATCH PURSE PINK BUTTERFLY
245,20857,52.8,32,8,45.875,BLUE ROSE PATCH PURSE PINK BUTTERFL
246,20860,2.1,1,1,361.0,GOLD COSMETICS BAG WITH BUTTERFLY
247,20861,4.2,2,2,184.0,GOLD COSMETIC BAG PINK STAR
248,20866,710.9500000000003,598,91,5.828125,BLUE ROSE FABRIC MIRROR
249,20867,393.47,331,62,7.770833333333333,PINK ROSE FABRIC MIRROR
250,20868,219.34999999999994,458,46,10.11111111111111,SILVER FABRIC MIRROR
251,20869,86.76,180,30,13.222222222222221,GOLD FABRIC MIRROR
252,20871,8.42,2,1,360.0,OPULENT VELVET SET/3 CANDLES
253,20878,31.25,25,8,124.33333333333333,SET/9 CHRISTMAS T-LIGHTS SCENTED 
254,20886,988.1800000000004,486,105,4.264367816091954,BOX OF 9 PEBBLE CANDLES
255,20892,89.22,4,3,122.33333333333333,SET/3 TALL GLASS CANDLE HOLDER PINK
256,20893,611.5700000000002,269,27,14.307692307692308,HANGING BAUBLE T-LIGHT HOLDER SMALL
257,20894,108.71000000000001,33,15,26.571428571428573,HANGING BAUBLE T-LIGHT HOLDER LARGE
258,20897,298.27000000000004,107,24,16.0,VINTAGE NOTEBOOK PARIS DAYS
259,20898,105.72999999999999,38,14,26.333333333333332,VINTAGE NOTEBOOK TRAVELOGUE
260,20901,91.47999999999999,20,16,16.818181818181817,VINTAGE KEEPSAKE BOX PINK FLOWER
261,20902,686.8599999999997,112,56,8.28888888888889,VINTAGE KEEPSAKE BOX PARIS DAYS
262,20903,441.8899999999998,82,56,8.0,VINTAGE KEEPSAKE BOX TRAVELOGUE
263,20906,8.850000000000001,3,2,183.0,VINTAGE NOTEBOOK BEAUTY GIRL
264,20910,50.8,8,3,123.66666666666667,VINTAGE PHOTO ALBUM PARIS DAYS
265,20914,18390.20000000015,6372,903,1.322695035460993,SET/5 RED RETROSPOT LID GLASS BOWLS
266,20931,1060.9000000000003,299,68,6.660714285714286,BLUE POT PLANT CANDLE 
267,20932,628.7900000000002,204,35,11.375,PINK POT PLANT CANDLE
268,20933,71.05000000000001,23,9,42.25,YELLOW POT PLANT CANDLE
269,20934,424.45999999999987,68,32,11.9,SET/3 POT PLANT CANDLES
270,20935,17.700000000000003,6,4,19.25,ROUND CACTUS CANDLE
271,20936,319.6600000000001,100,34,11.903225806451612,FORKED CACTUS CANDLE
272,20941,83.78,64,20,21.823529411764707,FROG CANDLE
273,20954,16.94,2,2,357.0,*USB Office Mirror Ball
274,20956,1149.0200000000002,824,103,4.782051282051282,PORCELAIN T-LIGHT HOLDERS ASSORTED
275,20960,72.48999999999998,29,10,37.1,WATERMELON BATH SPONGE
276,20961,1749.180000000002,1235,231,2.6083916083916083,STRAWBERRY BATH SPONGE 
277,20963,1913.6700000000035,1338,233,2.6083916083916083,APPLE BATH SPONGE
278,20964,5.1,2,1,217.0,POLYESTER FILLER PAD 60x40cm
279,20966,1022.8000000000005,719,97,7.037735849056604,SANDWICH BATH SPONGE
280,20967,1031.69,266,84,7.153846153846154,GREY FLORAL FELTCRAFT SHOULDER BAG
281,20969,7236.930000000002,1962,308,2.1686046511627906,RED FLORAL FELTCRAFT SHOULDER BAG
282,20970,4235.88,1117,264,2.4379084967320264,PINK FLORAL FELTCRAFT SHOULDER BAG
283,20971,13838.099999999982,11001,533,1.5940170940170941,PINK BLUE FELT CRAFT TRINKET BOX
284,20972,9159.309999999992,7362,631,1.528688524590164,PINK CREAM FELT CRAFT TRINKET BOX 
285,20973,3216.1199999999967,4506,370,2.5547945205479454,12 PENCIL SMALL TUBE WOODLAND
286,20974,4531.979999999995,6983,367,1.865,12 PENCILS SMALL TUBE SKULL
287,20975,4387.819999999993,6640,370,2.2606060606060607,12 PENCILS SMALL TUBE RED RETROSPOT
288,20977,2331.1400000000012,1741,188,2.937007874015748,36 PENCILS TUBE WOODLAND
289,20978,2400.050000000003,1799,269,2.33125,36 PENCILS TUBE SKULLS
290,20979,4729.980000000003,3739,329,1.922680412371134,36 PENCILS TUBE RED RETROSPOT
291,20980,76.91,79,20,21.705882352941178,36 PENCILS TUBE POSY
292,20981,1742.2700000000034,1976,252,2.52027027027027,12 PENCILS TALL TUBE WOODLAND
293,20982,1884.9200000000044,2156,263,2.6267605633802815,12 PENCILS TALL TUBE SKULLS
294,20983,2382.460000000003,2746,284,2.2962962962962963,12 PENCILS TALL TUBE RED RETROSPOT
295,20984,1173.9000000000003,3812,179,3.72,12 PENCILS TALL TUBE POSY
296,20985,1545.590000000001,1183,140,3.727272727272727,HEART CALCULATOR
297,20986,833.49,657,118,4.592592592592593,BLUE CALCULATOR RULER
298,20992,1965.809999999997,4451,294,2.3459119496855347,JAZZ HEARTS PURSE NOTEBOOK
299,20996,727.4599999999989,3194,229,2.645390070921986,JAZZ HEARTS ADDRESS BOOK
300,20997,257.6099999999999,59,34,7.548387096774194,ROSE DU SUD CUSHION COVER 
301,20998,505.1999999999998,185,69,6.183333333333334,ROSE DU SUD OVEN GLOVE
302,21000,365.09000000000015,97,53,8.108695652173912,ROSE DU SUD COSMETICS BAG
303,21001,354.1399999999999,74,51,8.975609756097562,ROSE DU SUD WASHBAG 
304,21002,428.6600000000002,125,66,8.108695652173912,ROSE DU SUD DRAWSTRING BAG
305,21003,460.5799999999999,78,46,8.4,ROSE DU SUD CUSHION COVER
306,21009,1.25,1,1,357.0,ETCHED GLASS STAR TREE DECORATION
307,21011,28.999999999999996,20,3,123.0,GLITTER SNOW PEAR TREE DECORATION
308,21012,2618.2499999999995,1171,202,2.8045112781954886,ANTIQUE ALL GLASS CANDLESTICK
309,21014,598.8199999999999,1385,123,5.180555555555555,SWISS CHALET TREE DECORATION 
310,21015,590.1299999999999,1485,144,4.604938271604938,DARK BIRD HOUSE TREE DECORATION
311,21018,22.060000000000002,24,7,62.166666666666664,BIRD BOX CHRISTMAS TREE DECORATION
312,21025,233.51999999999998,174,56,8.08695652173913,SPACE FROG
313,21026,319.5,258,71,7.153846153846154,SPACE OWL
314,21027,190.29,169,44,11.242424242424242,NINJA RABBIT PINK
315,21028,239.2400000000001,187,58,7.510204081632653,NINJA RABBIT BLACK
316,21030,172.2,141,35,11.272727272727273,SPACE CADET RED
317,21031,65.49,53,20,19.57894736842105,SPACE CADET BLACK
318,21032,119.02999999999996,98,31,12.4,SPACE CADET WHITE
319,21033,4853.810000000011,1933,301,2.8045112781954886,JUMBO BAG CHARLIE AND LOLA TOYS
320,21034,1842.0500000000218,1939,964,1.3613138686131387,REX CASH+CARRY JUMBO SHOPPER
321,21035,8549.85,2603,401,1.855721393034826,SET/2 RED RETROSPOT TEA TOWELS 
322,21038,86.75000000000001,77,23,21.941176470588236,SET/4 MODERN VINTAGE COTTON NAPKINS
323,21039,1353.6899999999982,523,90,5.166666666666667,RED RETROSPOT SHOPPING BAG
